Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2018-06-11,ZECUSD,202.35,203.99,198.75,198.75,505.21,102316.21
2018-06-09,ZECUSD,236.02,240.64,233.2,233.66,8989.39,2121273.17
2018-06-08,ZECUSD,237.02,238.88,230.5,236.02,10748.36,2521842.13
2018-06-07,ZECUSD,235.85,242.52,232,237.02,12464.68,2949119.09
2018-06-06,ZECUSD,238.85,239.26,228,235.85,12543.03,2930581.97
2018-06-05,ZECUSD,236.21,242.55,229.01,238.85,12764.15,2988341.98
2018-06-04,ZECUSD,253.4,255.39,233.15,236.21,10333.11,2491006.59
2018-06-03,ZECUSD,248.54,260.6,247.17,253.4,7911.88,2008472.79
2018-06-02,ZECUSD,239.95,257.57,237.46,248.54,9088.11,2252949.66
2018-06-01,ZECUSD,240.74,244.75,234.53,239.95,9334.15,2228658.61
2018-05-31,ZECUSD,241.37,248.5,236.94,240.74,9212.74,2229988.98
2018-05-30,ZECUSD,246.29,258.48,235.45,241.37,8829.62,2175695.49
2018-05-29,ZECUSD,230.07,259.71,221.22,246.29,10989.31,2644396.17
2018-05-28,ZECUSD,263.11,267.1,221.76,230.07,10120.07,2480930.57
2018-05-27,ZECUSD,272.83,272.83,259.28,263.11,6943.6,1837564.02
2018-05-26,ZECUSD,282.5,285.73,272.76,272.83,7742.22,2156931.16
2018-05-25,ZECUSD,295.48,297.6,273.67,282.5,8358.97,2380163.39
2018-05-24,ZECUSD,285.7,300,271.89,295.48,7862.36,2263152.16
2018-05-23,ZECUSD,313.28,334.18,280.57,285.7,9832.21,3039446.51
2018-05-22,ZECUSD,328.04,349.47,311.23,313.28,8107.58,2672263.21
2018-05-21,ZECUSD,350.53,351.9,324.03,328.04,6704.4,2269216.62
2018-05-20,ZECUSD,342.95,359,339.24,350.53,7269.52,2534462.33
2018-05-19,ZECUSD,358.73,378.41,340.77,342.95,6692.32,2405630.81
2018-05-18,ZECUSD,314.42,365,304,358.73,8349.61,2877118.21
2018-05-17,ZECUSD,366.63,368.77,311.68,314.42,7932.31,2691252.43
2018-05-16,ZECUSD,354.54,379.56,326.83,366.63,9009.99,3196919.81
2018-05-15,ZECUSD,311.04,386.8,309.37,354.54,10897.82,3836455.95
2018-05-14,ZECUSD,260.94,347.69,245.64,311.04,11109.22,3231862.98
2018-05-13,ZECUSD,246.41,263.66,242.14,260.94,8535.98,2145587.78
2018-05-12,ZECUSD,239,253.44,230.31,246.41,8237.29,1995858.85
2018-05-11,ZECUSD,262.34,262.89,237.66,239,9345.71,2329659.36
2018-05-10,ZECUSD,275.97,288.23,262.24,262.34,8356.45,2308450.16
2018-05-09,ZECUSD,274.9,277.55,265.15,275.97,7809.76,2125802.4
2018-05-08,ZECUSD,280.18,291.17,271.1,274.9,7525.04,2106816.77
2018-05-07,ZECUSD,292.62,293.27,272.06,280.18,8353.42,2328504.16
2018-05-06,ZECUSD,308.75,312.38,288.27,292.62,7252.25,2155328.21
2018-05-05,ZECUSD,296.8,310.47,296.18,308.75,7291.09,2222136.23
