Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HBTC
2018-06-15,DASHBTC,0.04027,0.04093,0.03973,0.03993,10697.78,430.93
2018-06-14,DASHBTC,0.03889,0.04088,0.03877,0.04027,20549.33,819.54
2018-06-13,DASHBTC,0.03967,0.0399,0.03848,0.03889,20771.46,810.9
2018-06-12,DASHBTC,0.03927,0.04097,0.03877,0.03967,19292.51,772.79
2018-06-11,DASHBTC,0.03987,0.04084,0.0383,0.03927,22605.39,895.98
2018-06-10,DASHBTC,0.03974,0.04084,0.03896,0.03987,24010.48,954.42
2018-06-09,DASHBTC,0.04078,0.04084,0.03868,0.03974,31935.8,1274.84
2018-06-08,DASHBTC,0.04104,0.04124,0.04002,0.04078,31793.36,1292.26
2018-06-07,DASHBTC,0.04119,0.04135,0.04075,0.04104,39178.42,1605.77
2018-06-06,DASHBTC,0.04173,0.04194,0.04087,0.04119,27435.5,1135.65
2018-06-05,DASHBTC,0.04219,0.04249,0.04128,0.04173,44117.18,1846.55
2018-06-04,DASHBTC,0.04277,0.04331,0.04153,0.04219,36769.7,1556.9
2018-06-03,DASHBTC,0.04218,0.04339,0.04218,0.04277,30727.92,1319.15
2018-06-02,DASHBTC,0.04199,0.0427,0.04141,0.04218,29688.58,1250.25
2018-06-01,DASHBTC,0.04074,0.04201,0.0405,0.04199,37188.7,1525.23
2018-05-31,DASHBTC,0.0412,0.04168,0.04062,0.04074,41449.69,1699.27
2018-05-30,DASHBTC,0.04266,0.0429,0.0403,0.0412,39037.27,1624.29
2018-05-29,DASHBTC,0.04024,0.0433,0.04,0.04266,44422.11,1825.71
2018-05-28,DASHBTC,0.0429,0.04343,0.0401,0.04024,42074.13,1762.32
2018-05-27,DASHBTC,0.04376,0.04416,0.04266,0.0429,30575.24,1323.79
2018-05-26,DASHBTC,0.04532,0.04532,0.04356,0.04376,39783.07,1770.99
2018-05-25,DASHBTC,0.04547,0.04622,0.04439,0.04532,33891.43,1531.47
2018-05-24,DASHBTC,0.04529,0.0459,0.04441,0.04547,42664.23,1924.77
2018-05-23,DASHBTC,0.04471,0.04563,0.04383,0.04529,42674.2,1896.7
2018-05-22,DASHBTC,0.04571,0.04604,0.04449,0.04471,38624.71,1748.25
2018-05-21,DASHBTC,0.04714,0.04722,0.0457,0.04571,37660.06,1752.32
2018-05-20,DASHBTC,0.04674,0.0475,0.04669,0.04714,36375.88,1710.68
2018-05-19,DASHBTC,0.04788,0.04844,0.04668,0.04674,38578.21,1839.06
2018-05-18,DASHBTC,0.048,0.04849,0.0466,0.04788,35817.23,1704.15
2018-05-17,DASHBTC,0.04952,0.04998,0.04793,0.048,31693.66,1553.46
2018-05-16,DASHBTC,0.0504,0.05043,0.04862,0.04952,32117.02,1580.91
2018-05-15,DASHBTC,0.0498,0.05169,0.04886,0.0504,37684.46,1895.49
2018-05-14,DASHBTC,0.04784,0.05194,0.04622,0.0498,39315.06,1910.66
2018-05-13,DASHBTC,0.04763,0.04829,0.04678,0.04784,32273.82,1531.86
2018-05-12,DASHBTC,0.0465,0.04766,0.04552,0.04763,31023.47,1447.29
2018-05-11,DASHBTC,0.0463,0.04925,0.04534,0.0465,36548.23,1698.21
2018-05-10,DASHBTC,0.04761,0.04939,0.04623,0.0463,40250.68,1937.41
2018-05-09,DASHBTC,0.04812,0.04816,0.0456,0.04761,33791.42,1594.55
2018-05-08,DASHBTC,0.04887,0.04947,0.04758,0.04812,36034.95,1753.69
2018-05-07,DASHBTC,0.05038,0.05058,0.04807,0.04887,35160.34,1736.14
2018-05-06,DASHBTC,0.05164,0.05308,0.05026,0.05038,30424.94,1561.48
2018-05-05,DASHBTC,0.05033,0.0518,0.04992,0.05164,36198.42,1827.78
2018-05-04,DASHBTC,0.05152,0.05188,0.05,0.05033,39956.51,2026.53
2018-05-03,DASHBTC,0.05269,0.05343,0.05138,0.05152,31135.39,1638.82
2018-05-02,DASHBTC,0.05276,0.05292,0.05119,0.05269,35912.77,1870.52
2018-05-01,DASHBTC,0.05135,0.05457,0.05061,0.05276,35768.58,1863.86
2018-04-30,DASHBTC,0.05308,0.05322,0.05103,0.05135,34392.82,1788.17
2018-04-29,DASHBTC,0.05317,0.05347,0.05202,0.05308,35168.39,1852.1
2018-04-28,DASHBTC,0.05283,0.05396,0.05247,0.05317,30786.42,1632.77
2018-04-27,DASHBTC,0.05442,0.05466,0.05227,0.05283,34907.7,1854.39
2018-04-26,DASHBTC,0.05218,0.05499,0.05133,0.05442,33217.53,1775.13
2018-04-25,DASHBTC,0.05428,0.05482,0.05022,0.05218,32408.14,1698.69
2018-04-24,DASHBTC,0.05639,0.05861,0.05424,0.05428,28875.87,1647.35
2018-04-23,DASHBTC,0.05328,0.05916,0.05214,0.05639,35436.7,1958.43
2018-04-22,DASHBTC,0.04992,0.05449,0.04983,0.05328,33494.71,1742.03
2018-04-21,DASHBTC,0.05227,0.05241,0.04922,0.04992,29263.45,1474.84
2018-04-20,DASHBTC,0.0523,0.05308,0.05133,0.05227,34952.21,1823.75
2018-04-19,DASHBTC,0.05172,0.05271,0.04959,0.0523,33443.54,1713.95
2018-04-18,DASHBTC,0.04592,0.05184,0.04574,0.05172,36797.47,1776.35
2018-04-17,DASHBTC,0.04511,0.04688,0.04472,0.04592,34234.58,1572.9
2018-04-16,DASHBTC,0.04577,0.04598,0.04452,0.04511,43252.95,1951.3
2018-04-15,DASHBTC,0.04466,0.04635,0.0443,0.04577,42462.99,1926.09
2018-04-14,DASHBTC,0.04473,0.04653,0.04447,0.04466,46648.03,2105.31
2018-04-13,DASHBTC,0.04493,0.0477,0.04438,0.04473,47008.47,2147.02
2018-04-12,DASHBTC,0.04446,0.04541,0.04332,0.04493,47193.72,2103.91
2018-04-11,DASHBTC,0.04392,0.04449,0.04335,0.04446,50289.93,2206.56
2018-04-10,DASHBTC,0.04421,0.04452,0.04277,0.04392,33994.45,1496.77
2018-04-09,DASHBTC,0.04444,0.04539,0.0439,0.04421,44558.61,1991.11
2018-04-08,DASHBTC,0.04304,0.04495,0.04265,0.04444,59968.1,2614.98
2018-04-07,DASHBTC,0.04316,0.04458,0.04293,0.04304,45416.17,1986.58
2018-04-06,DASHBTC,0.04425,0.0443,0.04286,0.04316,47560.93,2068.35
2018-04-05,DASHBTC,0.04387,0.04483,0.0434,0.04425,43254.07,1908.69
2018-04-04,DASHBTC,0.04581,0.04588,0.04376,0.04387,33767.4,1515.55
2018-04-03,DASHBTC,0.0442,0.04591,0.04415,0.04581,51064.22,2304.59
2018-04-02,DASHBTC,0.04266,0.04462,0.04196,0.0442,38443.21,1660.73
2018-04-01,DASHBTC,0.04404,0.04486,0.04188,0.04266,63949.36,2800.21
2018-03-31,DASHBTC,0.04529,0.0464,0.04357,0.04404,44784.37,2033.9
2018-03-30,DASHBTC,0.04623,0.04754,0.04512,0.04529,37033.57,1707.14
2018-03-29,DASHBTC,0.04407,0.0476,0.04288,0.04623,65030.77,2881.89
2018-03-28,DASHBTC,0.04527,0.04553,0.044,0.04407,44545.36,1996.42
2018-03-27,DASHBTC,0.04774,0.04798,0.04511,0.04527,44542.51,2065.08
2018-03-26,DASHBTC,0.04849,0.04895,0.04686,0.04774,44247.67,2117.11
2018-03-25,DASHBTC,0.04907,0.04942,0.0484,0.04849,44932.88,2190.76
2018-03-24,DASHBTC,0.04861,0.05183,0.04845,0.04907,37639.43,1877.5
2018-03-23,DASHBTC,0.04704,0.04921,0.0468,0.04861,44495.14,2123.18
2018-03-22,DASHBTC,0.04877,0.04881,0.04621,0.04704,51087.0,2437.41
2018-03-21,DASHBTC,0.04793,0.04954,0.04752,0.04877,41358.29,2010.68
2018-03-20,DASHBTC,0.04781,0.0501,0.04689,0.04793,41580.59,2005.16
2018-03-19,DASHBTC,0.04809,0.0482,0.0449,0.04781,41666.2,1931.46
